,Date,Dollar in PKR,high ex rate in PKR,low ex rate in PKR,change in ex rate (PKR) %,Dollar in INR,high ex rate in INR,low ex rate in INR,change in ex rate (INR) %
0,12/31/2023,280.97,283.85,281.125,-0.51%,83.103,83.359,83.067,-0.10%
1,12/24/2023,282.42,286.25,282.25,-0.20%,83.19,83.368,83.099,0.03%
2,12/17/2023,283.0,284.5,279.5,-0.22%,83.166,83.291,82.91,0.18%
3,12/10/2023,283.62,285.365,280.25,-0.47%,83.02,83.451,82.927,-0.49%
4,12/03/2023,284.96,286.125,281.25,-0.01%,83.425,83.465,83.215,0.20%
5,11/26/2023,285.0,288.38,280.4,-0.86%,83.26,83.433,83.24,-0.10%
6,11/19/2023,287.46,288.63,282.75,0.05%,83.34,83.424,83.225,0.12%
7,11/12/2023,287.31,288.1,281.375,1.17%,83.244,83.343,82.906,-0.08%
8,11/05/2023,284.0,284.5,274.15,1.54%,83.309,83.499,83.085,0.20%
9,10/29/2023,279.7,281.0,275.3,0.69%,83.14,83.337,83.134,-0.15%
10,10/22/2023,277.77,280.165,271.88,0.21%,83.265,83.301,82.956,0.14%
11,10/15/2023,277.2,283.865,273.85,-2.11%,83.15,83.31,83.012,-0.13%
12,10/08/2023,283.17,288.75,278.93,-1.78%,83.255,83.348,83.11,0.17%
13,10/01/2023,288.3,293.375,284.0,0.72%,83.118,83.346,83.118,0.11%
14,09/24/2023,286.25,297.25,287.88,-3.42%,83.03,83.316,83.012,0.07%
15,09/17/2023,296.4,302.75,293.25,-3.36%,82.97,83.36,82.769,-0.12%
16,09/10/2023,306.69,307.89,300.75,0.39%,83.069,83.202,82.815,0.08%
17,09/03/2023,305.5,306.515,298.13,1.43%,83.004,83.271,82.65,0.38%
18,08/27/2023,301.2,303.1,292.4,1.67%,82.689,82.842,82.527,0.06%
19,08/20/2023,296.25,297.14,284.75,2.97%,82.637,83.217,82.359,-0.61%
20,08/13/2023,287.71,288.875,283.25,1.08%,83.14,83.467,82.895,0.29%
21,08/06/2023,284.64,289.175,282.75,-0.60%,82.898,82.984,82.589,0.24%
22,07/30/2023,286.35,289.125,282.0,0.43%,82.696,82.892,82.225,0.54%
23,07/23/2023,285.12,286.875,274.13,2.93%,82.253,82.377,81.69,0.32%
24,07/16/2023,277.0,281.0,268.75,-0.25%,81.99,82.215,81.897,-0.11%
25,07/09/2023,277.7,286.925,271.0,-2.90%,82.077,82.712,81.943,-0.65%
26,07/02/2023,286.0,287.25,281.5,0.00%,82.615,82.815,81.755,0.63%
27,06/25/2023,286.0,287.75,283.1,-0.35%,82.096,82.128,81.92,0.14%
28,06/18/2023,287.0,288.625,283.34,0.17%,81.985,82.172,81.867,0.09%
29,06/11/2023,286.5,287.75,282.1,0.53%,81.915,82.497,81.825,-0.64%
30,06/04/2023,285.0,286.375,281.58,0.16%,82.445,82.685,82.394,0.05%
31,05/28/2023,284.55,288.125,281.13,-0.26%,82.403,82.793,82.257,-0.21%
32,05/21/2023,285.3,286.75,281.08,0.12%,82.575,82.895,82.522,-0.40%
33,05/14/2023,284.97,298.625,280.05,0.55%,82.905,82.953,82.18,0.86%
